job-title,department,company,status-type,status-name,date-added,date-needed,processing,offered,hired,hires-needed
Account Executive,Business Development,Browsetype,success,Open,11/30/2017,11/22/2018,27,4,5,5
Mechanical Systems Engineer,Engineering,Shuffledrive,default,Closed,09/16/2017,08/29/2018,36,5,1,5
GIS Technical Architect,Marketing,Izio,default,Closed,11/30/2017,10/05/2018,11,1,4,6
Office Assistant I,Legal,Vinder,warning,For Checking,11/09/2017,04/01/2018,12,2,2,5
Dental Hygienist,Services,Kayveo,warning,For Checking,11/03/2017,06/30/2018,31,3,3,5
Professor,Business Development,Feedbug,default,Unpublished,10/17/2017,06/29/2018,38,5,2,9
Environmental Specialist,Human Resources,Eabox,warning,For Approval,10/24/2017,08/10/2018,15,2,5,8
Information Systems Manager,Business Development,Skinder,success,Open,12/12/2017,07/22/2018,24,1,5,5
Systems Administrator III,Engineering,Eadel,warning,For Checking,11/02/2017,12/18/2018,25,2,1,5
Occupational Therapist,Research and Development,Jabberstorm,default,Closed,11/07/2017,03/06/2018,11,1,2,8
Administrative Officer,Engineering,Twitterbridge,default,Closed,12/20/2017,07/12/2018,37,2,2,10
Engineer I,Services,Jatri,warning,For Checking,12/01/2017,02/20/2018,4,5,1,7
Senior Sales Associate,Accounting,Talane,default,Unpublished,09/30/2017,02/24/2018,47,5,5,10
Safety Technician III,Human Resources,Izio,warning,For Checking,11/17/2017,04/21/2018,19,5,1,10
Nurse Practicioner,Support,Fivespan,warning,For Checking,11/16/2017,07/19/2018,28,1,1,10
Programmer II,Human Resources,Browsebug,success,Open,11/07/2017,02/18/2018,44,2,5,6
Web Developer II,Marketing,Katz,success,Open,10/04/2017,10/30/2018,40,2,1,9
Quality Control Specialist,Accounting,Skippad,default,Rejected,12/30/2017,05/25/2018,4,3,3,6
Actuary,Product Management,Skiptube,default,Unpublished,10/05/2017,07/15/2018,16,5,4,8
Recruiter,Product Management,Wikizz,warning,For Approval,11/03/2017,04/26/2018,31,4,1,9
Marketing Assistant,Engineering,Ainyx,default,Unpublished,12/26/2017,08/04/2018,39,3,2,5
Pharmacist,Product Management,Oyondu,default,Rejected,10/08/2017,07/14/2018,8,2,3,8
Desktop Support Technician,Business Development,Miboo,success,Open,11/21/2017,06/22/2018,38,4,2,7
Electrical Engineer,Services,Roodel,warning,For Approval,10/13/2017,11/21/2018,8,2,3,10
Tax Accountant,Research and Development,Talane,default,Unpublished,11/13/2017,08/03/2018,41,4,1,6
Developer III,Product Management,Kwilith,warning,For Checking,09/27/2017,03/17/2018,27,3,1,5
Engineer III,Services,Dabfeed,success,Open,12/28/2017,08/31/2018,19,3,3,8
Associate Professor,Legal,Jaxbean,warning,For Checking,10/18/2017,04/04/2018,16,4,2,5
Assistant Media Planner,Accounting,Vipe,default,Unpublished,12/14/2017,05/27/2018,31,1,5,10
Chief Design Engineer,Services,Skyvu,default,Closed,09/14/2017,08/15/2018,18,1,2,7
Sales Representative,Legal,Quamba,default,Rejected,10/22/2017,02/26/2018,39,2,5,10
Paralegal,Legal,Voonte,default,Rejected,12/29/2017,07/10/2018,30,3,5,7
Physical Therapy Assistant,Services,Topicware,warning,For Approval,11/07/2017,10/10/2018,24,2,2,8
Structural Engineer,Support,Quimm,success,Open,09/14/2017,04/23/2018,1,2,1,8
Senior Quality Engineer,Business Development,Realbridge,default,Unpublished,10/06/2017,10/19/2018,32,1,3,10
Compensation Analyst,Training,Photolist,default,Rejected,09/20/2017,11/04/2018,37,2,4,8
Automation Specialist I,Services,Eimbee,warning,For Approval,09/28/2017,04/12/2018,40,1,2,7
Programmer IV,Business Development,Mydeo,default,Closed,09/23/2017,11/07/2018,13,5,2,7
Vice President for Accounting,Marketing,Skimia,warning,For Checking,12/01/2017,04/21/2018,19,3,2,8
Tax Accountant,Training,Roomm,default,Unpublished,12/04/2017,06/22/2018,21,2,5,7
Desktop Support Technician,Services,Yodel,default,Rejected,10/11/2017,06/21/2018,30,1,1,10
Computer Systems Analyst I,Training,Ozu,warning,For Checking,12/02/2017,03/14/2018,13,1,3,5
Media Manager IV,Services,Browseblab,warning,For Approval,12/26/2017,04/05/2018,18,2,1,6
